number,answer,question
124,1,依危險性機械及設備安全檢查規則規定，高壓氣體容器之定期檢查，自構 造檢查合格日起算 20 年以上者，須每幾年實施內部檢查 1 次以上？ ①1 ② 2 ③3 ④5 。
125,2,依鍋爐及壓力容器安全規則規定，雇主於鍋爐房儲存固體燃料應距離鍋爐 外側多少公尺以上？ ①1 ②1.2 ③1.5 ④2 。
126,2,依危險性機械及設備安全檢查規則規定，國內製造之危險性機械或設備之 檢查應依中央主管機關指定之相關標準之全部或部分內容規定辦理。下列 何種標準未列入可指定之範圍？ ①國家標準 ②工廠標準 ③國際標準 ④ 團體標準 。
127,1,依危險性機械及設備安全檢查規則規定，高壓氣體特定設備係指供高壓氣 體之下列何種行為之設備及其支持構造物？ ①製造 ②供應 ③運輸 ④消 費 。
128,3,依危險性機械及設備安全檢查規則規定，下列何者非為固定式起重機所需 之檢查？ ①型式檢查 ②竣工檢查 ③使用檢查 ④重新檢查 。
129,2,依危險性機械及設備安全檢查規則規定，額定荷重 300 公噸之固定式起重 機，竣工檢查實施荷重試驗時，需將相當於若干額定荷重置於吊具上實施 各項動作試驗？ ①300 公噸 ②350 公噸 ③375 公噸 ④381 公噸 。
130,3,依危險性機械及設備安全檢查規則規定，高壓氣體容器在下列何種檢查合 格後，即可發檢查合格證供勞工使用？ ①型式檢查 ②熔接檢查 ③構造檢 查 ④使用檢查 。
131,2,依鍋爐及壓力容器安全規則規定，鍋爐房應設至少幾個以上之出入口，但 緊急時鍋爐操作人員可避難者，不在此限？ ①1 ②2 ③3 ④4 。
132,4,依職業安全衛生法規定，下列何項機械或設備之操作人員，雇主應僱用經 技術士技能檢定或訓練合格人員充任之？ ①升降機 ②簡易提升機 ③圓盤 鋸 ④鍋爐 。
133,4,依職業安全衛生管理辦法規定，小型鍋爐、小型壓力容器每年應實施定期 檢查 1 次以上，由下列何者辦理？ ①勞動檢查機構 ②代行檢查機構 ③製 造廠 ④雇主 。
134,3,依鍋爐及壓力容器安全規則規定，胴體內徑達 500 公厘以上之豎型鍋爐或 鍋爐本體外側，未加被覆物之鍋爐外側與主牆壁之間，應保留多少公分以 上之距離？ ①15 ②30 ③45 ④100 。
135,4,依鍋爐及壓力容器安全規則規定，壓力容器設有 2 具以上安全閥者，其中 至少 1 具應調整最高使用壓力以下吹洩，其他安全閥最大可調整至最高使 用壓力之幾倍以下吹洩？ ①1.00 ②1.01 ③1.02 ④1.03 。
136,1,依職業安全衛生設施規則規定，雇主使勞工於有危害勞工之虞之局限空間 從事作業時，對勞工之進出，應予確認、點名登記，並作成紀錄至少保存 多少年？ ①1 ②2 ③3 ④4 。
137,3,依職業安全衛生設施規則規定，起重升降機具所使用之吊鉤或鉤環及附屬 零件，其斷裂荷重與所承受之最大荷重比之安全係數，應在多少以上？ ① 2 ②3 ③4 ④5 。
138,2,依職業安全衛生設施規則規定，雇主對於自高度在多少公尺以上之場所投 下物體有危害勞工之虞時，應設置適當之滑槽、承受設備，並指派監視人 員？ ①2 ②3 ③4 ④5 。
139,1,依職業安全衛生設施規則規定，雇主對勞工於石綿板、鐵皮板、瓦、木板、 茅草、塑膠等材料構築之屋頂從事作業時，為防止勞工踏穿墜落，應於屋 架上設置適當強度，且寬度在多少公分以上之踏板或裝設安全護網？ ①30  ②40 ③50 ④60 。
140,4,高壓氣體容器之定期檢查，依危險性機械及設備安全檢查規則規定，自構 造檢查合格日起算未滿 15 年者，須每幾年檢查 1 次以上？ ①1 ②2 ③3 ④ 5 。
141,2,依高壓氣體勞工安全規則規定， W( 公斤)＝V2 (公升)/C( 指數)係為下列何種 能力？ ①液化氣體儲存設備之儲存能力 ②液化氣體容器之儲存能力 ③高 壓氣體之處理能力 ④冷凍設備之冷凍能力 。
142,4,依高壓氣體勞工安全規則規定，自可燃性氣體製造設備之高壓氣體設備之 外面與氧氣製造設備之高壓氣體設備間，應保持多少公尺以上？ ①1 ②5  ③8 ④10 。
143,4,依起重升降機具安全規則規定，升降機依其構造及材質，於搬器上乘載人 員或貨物上升之最大荷重，為下列何者？ ①吊升荷重 ②額定荷重 ③額定 總荷重 ④積載荷重 。
144,3,固定式起重機竣工檢查時之荷重試驗，係將相當於該起重機額定荷重幾倍 之荷重，置於吊具上實施吊升、直行、橫行及旋轉等動作試驗？ ①1 ②1.2  ③1.25 ④1.27 。
145,4,依危險性機械及設備安全檢查規則規定，高壓氣體特定設備儲槽之材質為 高強度鋼，熔接後於爐內實施退火時，其實施內部檢查之期限，除第一次 檢查為竣工檢查後 2 年外，其後應為每幾年實施 1 次？ ①1 ②2 ③3 ④5 。
146,4,依起重升降機具安全規則規定，固定式起重機與建築物間設置之人行道寬 度應在多少公尺以上？ ①0.2 ②0.3 ③0.4 ④0.6 。
147,2,依起重升降機具安全規則規定，營建用提升機，在瞬間風速超過多少時， 應增設拉索，預防其倒塌？ ①25 公尺/秒 ②30 公尺/秒 ③35 公尺/秒 ④40 公尺/秒 。
148,3,以動力吊升貨物為目的，具有主柱、吊桿，另行裝置原動機，並以鋼索操 作升降之機械裝置，為下列何者？ ①移動式起重機 ②升降機 ③人字臂起 重桿 ④簡易提升機 。
149,4,依營造安全衛生設施標準規定，對於從事鋼筋混凝土之作業時，下列敘述 何者不正確？ ①使從事搬運鋼筋作業之勞工戴用手套 ②禁止使用鋼筋作 為拉索支持物、工作架或起重支持架 ③鋼筋不得散放於施工架上 ④不得 使用吊車或索道運送鋼筋 。
150,123,職業安全衛生法上所稱之工作者為何？ ①勞工 ②自營作業者 ③其他受工 作場所負責人指揮或監督從事勞動之人員 ④事業之經營負責人 。
151,124,機械、設備、器具、原料、材料等物件設計、製造或輸入者及工程之設計 施工者，致力防止發生職業災害，應於那些階段實施風險評估？ ①設計、 製造 ②輸入 ③使用 ④施工規劃 。
152,123,依職業安全衛生法規定，有下列情形之一者，得公布其事業單位、雇主等？  ①事業單位勞動場所發生死亡等之職業災害 ②未符合安全衛生設備及措 施之規定致發生 行政罰則 ③發生職業病 ④未實施風險評估 。
153,134,下列那些屬勞動檢查法第 27 條所稱之重大職業災害？ ①發生死亡災害者  ②1 人發生 9 等殘廢之災害 ③發生光氣之洩漏，致 1 人以上罹災勞工需住 院治療者 ④發生災害罹災 3 人以上者 。
154,123,以勞動檢查機構所發檢查結果通知書之全部內容公告者，應公告於那些場 所之一？ ①事業單位管制勞工出勤之場所 ②餐廳、宿舍及各作業場所之 公告場所 ③與工會或勞工代表協商同意之場所 ④公告於最嚴重之違反規 定場所之一 。
155,234,下列經中央主管機關指定適用機械設備器具安全標準者為何？ ①推土機 ②動力衝剪機械 ③手推刨床 ④動力堆高機 。
156,13,下列那些為職業安全衛生法施行細則所稱具有危險性之機械？ ①固定式 起重機 ②鍋爐 ③營建用升降機 ④挖土機 。
157,34,職業安全衛生設施規則所稱之車輛機械，包括下列那些？ ①手推車 ②固 定式起重機 ③鏟土機 ④刮運機 。
158,134,依營造安全衛生設施標準規定，下列哪些為施工架組配作業主管之辦理事 項？ ①檢查材料 ②督導工程進度 ③監督勞工作業 ④監督安全帽、安全帶 之使用 。
159,123,高壓氣體勞工安全規則不適用於下列何種高壓氣體？ ①船舶設備內使用 之高壓氣體 ②原子能設施內使用之高壓氣體 ③高壓鍋爐及其導管內之高 壓蒸氣 ④冷凍能力在 3 公噸以上之冷凍設備內之高壓氣體 。
160,124,依固定式起重機安全檢查構造標準規定，固定式起重機應以銘牌標示相關 事項，包括下列何者？ ①製造者名稱 ②製造年月 ③荷重試驗年月 ④吊升 荷重 。
161,124,依危險性機械及設備安全檢查規則規定，第一種壓力容器在下列何種情形 需申請重新檢查？ ①從國外進口者 ②經禁止使用擬恢復使用者 ③補強支 撐有變動者 ④遷移裝置地點而重新裝設者 。
162,234,依職業安全衛生設施規則規定，行駛中之貨車搭載勞工時，下列敘述哪些 為正確？ ①駕駛室之頂部高度不得超過載貨台之物料高度 ②不得使勞工 搭乘於因貨車之搖動致有墜落之虞之位置 ③勞工身體之最高部分不得超 過駕駛室之頂部高度 ④載貨台之物料高度超過駕駛室頂部者，勞工身體之 最高部分不得超過該物料之高度 。
163,123,下列哪些屬職業安全衛生設施規則所稱之局限空間？ ①非供勞工在其內 部從事經常性作業 ②勞工進出方法受限制 ③無法以自然通風來維持充 分、清淨空氣 ④內部空間照明充足 。
164,123,依職業安全衛生設施規則規定，下列有關升降機之安全設施，下列敘述哪 些為正確？ ①升降路各樓出入口，應裝置構造堅固平滑之門 ②升降搬器 及升降路出入口之任一門開啟時，升降機不能開動 ③升降機在開動中任一 門開啟時，能停止上下 ④搬器地板與樓板相差 10 公分以上時，升降路出 入口門不能開啟 。
165,124,依職業安全衛生設施規則規定，對於高壓氣體之貯存，下列敘述哪些為正 確？ ①盛裝容器和空容器應分區放置 ②可燃性氣體、毒性氣體及氧氣之 鋼瓶，應分開貯存 ③劇毒性氣體不得貯存 ④容器應保 持在攝氏四十度以 下 。
166,123,對於固定式起重機設置之階梯，下列哪些敘述符合固定式起重機安全檢查 構造標準規定？ ①對水平之傾斜度應在 75 度以下 ②每一階之高度應在 30 公分以下，且各階梯間距離應相等 ③階面之寬度應在 10 公分以上，且各 階面應相等 ④設置之堅固扶手高度至少應在 60 公分以上 。
167,124,依職業安全衛生法施行細則規定，下列何者屬安全衛生工作守則的內容？ ①事業單位之安全衛生管理及各級之權責 ②急救與搶救 ③訪客注意要點  ④工作安全及衛生標準 。
168,124,依據職業安全衛生教育訓練規則的要求，哪些描述正確？ ①擔任有機溶劑 作業主管的勞工應於事前使其接受有害作業主管之教育訓練 ②荷重在 1 公噸以上之堆高機操作人員應使其接受特殊作業教育訓練 ③職業安全衛 生業務主管應接受每兩年至少 12 小時的在職教育訓練 ④在職勞工於變更 工作前，應使其接受適於工作必要之一般安全衛生教育訓練 。
169,14,下列何者為屬勞工健康保護規則所稱特別危害健康作業？ ①高溫作業勞 工作息時間標準所稱之高溫作業 ②重體力作業 ③精密作業 ④游離輻射作 業 。
170,13,依職業安全衛生教育訓練規則規定，下列何項作業勞工，雇主需對其實施 特殊作業安全衛生教育訓練？ ①荷重在 1 公噸以上之堆高機操作 ②衝床 作業 ③使用起重機從事吊掛作業 ④研磨作業 。
171,134,依勞工作業場所容許暴露標準規定，下列敘述何者不正確？ ①暴露濃度未 超過容許濃度者即表示一定安全 ②容許濃度不得作為工作場所以外之 空 氣污染指標 ③容許濃度表註有皮字者表示該物質對勞工會引起皮膚炎及 敏感等特性 ④任何時間均不得超過短時間時量平均容許濃度 。
172,123,依危害性化學品標示及通識規則規定，危害物質應標示事項，除危害圖式 外，其內容需包括下列何項？ ①名稱及危害成分 ②危害警告訊息 ③製造 者、輸入者或供應者之名稱、地址及電話 ④消防機關電話、地址 。
173,13,依危害性化學品標示及通識規則規定，下列何者可免標示？ ①外部容器已 標示，僅供內襯且不再取出之內容器 ②內部容器未標示，由外部無法見到 標示之外部容器 ③勞工使用可攜帶容器，其危害物質取自有標示之容器  ④危害物質僅供實驗室實驗、研究之用 。
174,34,事業單位發生職業安全衛生法第 37 條第 2 項規定之職業災害時，除必要 之急救、搶救外，雇主非經下列何種機構或機關許可，不得移動或破壞現 場？ ①警察人員 ②地方主管機關 ③勞動檢查機構 ④司法機關 。
175,12,下列哪些為高壓氣 體勞工安全規則中所稱特定高壓氣體？ ①壓縮氫氣 ② 液氧 ③乙炔 ④溴甲烷 。      22000 職業安全管理 甲 工作項目 02 ：職業安全衛生計畫及管理
1,1,人為失誤（Human Erro r ）可藉由以下何種分析加以預防 ①虛驚事件分析 ② 作業環境測定 ③靜電量測 ④故障樹分析 。
2,4,依職業安全衛生管理辦法規定，應由何者訂定職業安全衛生管理計畫？ ① 作業勞工 ②勞工局 ③現場監督人員 ④雇主 。
3,4,下列何者是訂定職業安全衛生管理計畫，先要確立的重點？ ①計畫項目 ② 計畫期間 ③計畫目標 ④基本方針 。
4,4,依職業安全衛生管理辦法規定，雇主使勞工從事缺氧危險作業時，應使該 勞工就其作業有關事項實施何種檢查？ ①設備之定期檢查 ②機械設備之 重點檢查 ③機械設備之作業檢點 ④作業檢點 。
5,3,依職業安全衛生法規定，安全衛生工作守則應由下列何者訂定？ ①雇主 ② 勞工 ③雇主會同勞工代表 ④勞動部 。
6,1,依職業安全衛生法規定，安全衛生工作守則訂定後，下列何種程序為正確？  ①應報經勞動檢查機構備查 ②應報經地方主管機關備查 ③經雇主核定後 實施 ④應報警察機關備查 。
7,2,"勞工未切實遵行安全衛生工作守則，主管機關最高可處罰鍰新台幣多少 元？ ①1,000 ②3,000 ③6,000 ④9,000 。"
8,3,安全衛生工作守則製作，下列何者不符要求？ ①法令基本原則 ②合理可實 施原則 ③責任由勞工負責 ④規定程序可修訂 。
9,4,依職業安全衛生管理辦法規定，各項安全衛生提案應送請下列何者審議？  ①職業安全衛生管理單位 ②董事會 ③監事會 ④職業安全衛生委員會 。
10,3,依職業安全衛生管理辦法之規定，僱用勞工人數多少人以上之事業單位， 雇主除應依規模、特性訂出職業安全衛生管理計畫外，另應訂定職業安全 衛生管理規章要求各級主管及管理、指揮、監督有關人員執行？ ①30 ②50  ③100 ④200 。
11,3,下列何者非勞工健康管理計畫之目的？ ①依勞工之身體及心理狀況，分配 適當工作 ②早期偵知有害作業 場所各種影響，評估安全衛生管理措施是否 適當並提出改善措施 ③防止機械設備之捲夾危害 ④減少勞工因工傷病之 缺工 。
12,4,下列何者非健康促進的項目？ ①有氧運動 ②八段錦 ③戒菸計畫 ④指認呼 喚 。
13,1,依職業安全衛生管理辦法規定，下列何種機械設備應實施重點檢查？ ①局 部排氣裝置 ②動力堆高機 ③車輛系營建機械 ④衝壓機械 。
14,1,依職業安全衛生設施規則規定，有易燃性液體蒸氣或可燃性氣體存在致有 爆炸之虞之作業場所，應在何時測定其濃度？ ①作業前 ②作業後 ③每日  ④每月 。
15,3,依職業安全衛生設施規則規定，作業前應測定可燃性氣體或易燃性液體蒸 氣，其濃度達爆炸下限值之多少百分比以上時，應即刻使勞工退避至安全 場所？ ①10 ②20 ③30 ④40 。
16,3,實施自動檢查以後，必須採取下列何項措施始能達到防止職業災害，保障 職業安全與健康之目的？ ①聘請專家指導 ②提出檢查報告 ③切實改善 ④ 舉行研討會 。
17,3,下列何種事業單位依職業安全衛生管理辦法規定，僱用勞工人數在 100 人 以上需要設置職業安全衛生管理單位？ ①新聞業 ②醫院 ③紡織業 ④郵政 業 。
18,3,依職業安全衛生管理辦法規定，事業單位勞工人數在多少人以上，設職業 安全衛生管理單位或置管理人員時，應填具「職業安全衛生管理單位（人 員） 設置 （變更）報備書」 陳報勞動檢查機構備查？ ①10 ②20 ③30 ④100 。
19,3,依職業安全衛生管理辦法規定，職業安全衛生委員會設置之委員人數最少 需要多少人？ ①3 ②5 ③7 ④9 。
20,3,依職業安全衛生管理辦法規定，職業安全衛生委員會至少應每幾個月開會 1 次？ ①1 ②2 ③3 ④4 。
21,3,依職業安全衛生管理辦法規定，事業單位勞工多少人以上，雇主應訂定職 業安全衛生管理規章？ ①30 ②50 ③100 ④300 。
22,1,依職業安全衛生管理辦法規定，職業安全衛生人員離職，應向那個單位報 備？ ①當地勞動檢查機構 ②當地縣（市） 政府 ③同業公會 ④當地警察局 。
23,4,依高壓氣體勞工安全規則規定，高壓氣體儲存能力在 100 立方公尺或 1 公 噸以上之儲槽，應多久定期測定其沉陷狀況 1 次？ ①1 個月 ②6 個月 ③9 個月 ④1 年 。
24,3,張三在甲工廠工作，擔任吊升荷重 2 公噸之固定式起重機操作員及荷重 2 公噸之堆高機操作員，請問甲工廠雇主應對張三實施下列何者訓練？ ①吊 升荷重未滿 3 公噸之固定式起重機操 作訓練 ②堆高機之操作訓練 ③吊升荷 重未滿 3 公噸之固定式起重機操作訓練及堆高機之操作訓練 ④不必訓練 。
25,4,依職業安全衛生教育訓練規則規定，下列何項作業勞工，雇主無需對其實 施特殊作業安全衛生教育訓練？ ①小型鍋爐之操作 ②荷重在 1 公噸以上之 堆高機操作 ③潛水作業 ④衝床作業 。
26,3,下列何項操作人員，雇主毋需使其受危險性設備操作人員安全訓練？ ①鍋 爐（小型鍋爐除外） ②第一種壓力容器 ③吊升荷重未滿 5 公噸之固定式起 重機 ④高壓氣體特定設備 。
27,3,依職業安全衛生管理辦法規定，雇主對特定化學設備或其附屬設備應多久 實施定期檢查一次？ ①6 個月 ②1 年 ③2 年 ④3 年 。
28,2,依職業安全衛生管理辦法規定，下列何種安全裝置非為固定式起重機每日 應實施定期檢查之項目？ ①過捲預防裝置 ②警報裝置 ③制動器 ④離合 器 。
29,3,依職業安全衛生管理辦法規定，下列何種機械設備應實施重點檢查？ ①鍋 爐 ②小型壓力容器 ③第二種壓力容器 ④第一種壓力容器 。
30,1,依職業安全衛生管理辦法規定，車輛系營建機械應多久實施整體定期檢查 一次？ ①1 年 ②2 年 ③3 年 ④4 年 。
31,1,依職業安全衛生管理辦法規定，移動式起重機之過捲預防裝置、過負荷警 報裝置、制動器、離合器及控制裝置，其性能檢點週期為下列何者？ ①每 日作業前 ②每週 ③每月 ④每季 。
32,3,定期檢查及重點檢查紀錄表應陳報事業單位負責人或其代理人，其資料最 少應保存幾年？ ①1 ②2 ③3 ④5 。
33,2,雇主依法對勞工施以從事工作及預防災變所必要之安全衛生教育訓練，勞 工有接受之義務，違反時可處下列何種處分？ ①罰金 ②罰鍰 ③拘役 ④有 期徒刑 。
34,4,危險性機械或設備之操作人員，雇主僱用未經中央主管機關認可之訓練或 經技能檢定合格人員充任時，依職業安全衛生法規定，可處以下列何種行 政處分？ ①有期徒刑 ②拘役 ③罰金 ④罰鍰 。
35,3,依職業安全衛生教育訓練規則規定，下列何者不需接受有害作業主管安全 衛生教育訓練？ ①鉛作業主管 ②缺氧作業主管 ③液化石油氣製造安全作 業主管 ④粉塵作業主管 。
36,3,事業單位與承攬人、再承攬人分別僱用勞工共同作業時，相關承攬事業間 之安全衛生教育訓練指導及協助，應由下列何者負責？ ①承攬人 ②再承攬 人 ③原事業單位 ④當地主管機關 。
37,3,辦理職業安全衛生教育訓練之規劃順序，下列何項最為優先？ ①決定訓練 方法 ②訓練之實施 ③決定訓練之對象 ④成果之評價 。
38,2,安全衛生教育訓練計畫之製作程序有下列四個步驟， (a )實施訓練計畫 (b) 分 析訓練需求 (c) 評鑑訓練成效 (d) 擬定年度訓練計畫；其計畫製作依序為下列 何者？ ①a→b→c→d ②b→d→a→c ③c→d→a→b ④d→a→b→c 。
39,4,下列何者非為評估安全衛生訓練需求所做之分析？ ①組織層級分析 ②工 作層級分析 ③個人層級分析 ④財務分析 。
40,1,擬決定實施工作安全分析的工作項目時，下列那項應最優先選擇？ ①傷害 頻率高的工作 ②新工作 ③臨時性工作 ④經常性工作 。
41,3,下列何者非為安全作業標準的功用之一？ ①安全教導的參考 ②安全觀察 的參考 ③員工升遷的參考 ④事故調查的參考 。
42,2,下列何種情況不需修正安全作業標準？ ①作業流程改變時 ②僱用新人時  ③設備改變時 ④管理制度改變時 。
43,2,下列何種法令規定，雇主應擬定安全作業標準？ ①職業安全衛生管理辦法  ②職業安全衛生法施行細則 ③職業安全衛生教育訓練規則 ④勞工作業環 境之測定實施辦法 。
44,2,下列何種作業較不需要列入工作安全分析？ ①臨時性的工作 ②低危害重 複性的生產工作 ③傷害頻率高的工作 ④潛在高危害性的工作 。
45,2,下列何項是安全觀察儘量要避免的行為？ ①要先決定安全觀察的最少抽樣 數 ②發現不安全動作時要立即矯正 ③要先了解相關安全作業標準 ④觀察 時態度要保持客觀 。
46,2,下列何者非為安全作業標準之功用？ ①防範工作場所災害之發生 ②職業 災害補償之依據 ③作為安全觀察參考 ④選擇適當的人從事工作 。
47,2,由有實務經驗的現場基層主管與現場作業人員共同討論獲致的一項安全作 業程序，係指下列何者？ ①工作分析 ②安全作業標準 ③安全觀察 ④安全 檢查 。
48,1,下列何者非屬雇主應執行之職業安全衛生事項？ ①決定作業成本 ②評估 安全衛生績效 ③勞工健康檢查、健康管理及健康促進事項 ④定期檢查、重 點檢查、作業檢點及現場巡視 。
49,1,營造業的專案工程，在下列哪一個階段考量安全，可有最佳的安全成本效 益？ ①規劃設計 ②發包 ③施工 ④試運轉 。
50,4,將工作方法或程序分解為各細項或步驟，以了解可能具有之危害，並訂出 安全作業的需求，係指下列何者？ ①自動檢查 ②安全觀察 ③損失控制 ④ 工作安全分析 。
51,4,依職業安全衛生管理辦法之規定，下列關於職業安全衛生組織及人員的描 述何者錯誤？ ①事業單位所置專職管理人員，應常駐廠場執行業務，不得 兼任其他法令所定專責 （任） 人員或從事其他與職業安全衛生無關之工作 ② 營造業之事業單位對於橋樑、道路、隧道或輸配電等距離較長之工程，應 於每十公里內增置營造業丙種職業安全衛生業務主管一人 ③職業安全衛生 人員因故未能執行職務時，雇主應即指定適當代理人。其代理期間不得超 過三個月 ④勞工人數在三十人以上之事業單位，其職業安全衛生人員離職 時，應於三個月內報當地勞動檢查機構備查 。
52,3,依職業安全衛生管理辦法之規定，下列何者是移動式起重機每月定期實施 檢查的項目？ ①導索之結頭部分有無異常 ②終點極限開關、緊急停止裝 置、制動器、控制裝置及其他安全裝置有無異常 ③鋼索及吊鏈有無損傷 ④ 積載裝置及油壓裝置 。
53,2,下列何者非事業單位製作勞工健康管理計畫應先確認之事項？ ①事業單位 作業環境有何種危害因子 ②工作場所使用之危險性機械設備種類及數量  ③勞工總人數，如為輪班者，每班次勞工人數 ④勞工之年齡分佈 。
54,3,依職業安全衛生組織 管理及自動檢查辦法規定，職業安全衛生委員至少應 每幾個月開會 1 次？ ①1 ②2 ③3 ④4 。
55,4,下列何者非屬勞工健康保護規則所稱特別危害健康作業？ ①鉛中毒預防規 則所稱之鉛作業 ②粉塵危害預防標準所稱之粉塵作業 ③游離輻射作業 ④ 重體力勞動作業勞工保護措施標準所稱之重體力作業 。
56,3,依勞工健康保護規則規定，關於急救人員與急救器材的描述下列何者錯 誤？ ①每一輪班次應至少置急救人員一人，勞工人數超過五十人者，每增 加五十人，應再增加一人 ②急救人員不得有失聰、色盲、心臟病、兩眼裸 視或矯正視力後均在零點六以下與失能等體能及健康不良，足以妨礙急救 事宜者 ③備置之急救藥品及器材，應至少每三個月定期檢查並保持清潔 ④ 備置之急救藥品如果超過保存期限，應隨時予以更換及補充 。
57,2,評估職業災害的潛在風險是職業安全衛生管理系統的重要工作之一，下列 何者不是執行風險評估的時機？ ①引進或修改製程 ②招募新進人員 ③建 立職業管理系統時 ④作業方法或條件的變更 。
58,2,下列關於製程安全評估的描述何者錯誤？ ①初步危害分析 (PHA) 用於系統 設計階段實施，目的是分析系統的重大潛在危害 ②危害及可操作分析 (HazOp) 屬於定性分析方法 ③故障樹分析 (FTA) 及事件樹分析 (ETA) 屬於定 量分析方法 ④二維風險矩陣是由危害發生的可能性與嚴重性組合而成 。
59,4,某工廠因為生產需要，將工作平台高度提升到三公尺高，為了防止人員發 生墜落風險，下列何者不屬於工程改善事項？ ①設置護欄或護蓋 ②設置上 下升降設備或防墜設施 ③使用起重吊掛作業 ④使勞工配戴安全帶 。
60,3,事業單位新購 3 部沖剪機械以增加產量，為了防止人員發生壓夾風險，下 列何者屬於本質安全設計？ ①加強作業主管的監督管理 ②危害告知 ③自 動化進出料 ④維修保養使用掛牌上鎖 。
61,3,風險管理執行程序包括五個步驟， (a )風險辨識 (b) 確認環境狀態 (c )風險處理 (d) 風險評量(e) 風險分析，其正確順序為下列何者？ ①a→b→c→d→e ②a →b→c→e→d ③b→a→e→d→c ④b→a→d→e→c 。
62,2,依職業安全衛生教育訓練規則規定，雇主應對擔任下列何種具有危險性之 機械操作之勞工，於事前使其接受具有危險性之機械操作人員之安全衛生 教育訓練？ ①鍋爐操作人員 ②吊升荷重在 3 公噸以上之移動式起重機操作 人員 ③高壓氣體容器操作人員 ④荷重在 1 公噸以上之堆高機操作人員 。
